dag,tijd,jaar,gem_intensiteit
Sunday,10:00,2019,841.7096774193549
Sunday,10:00,2020,715.7741935483871
Sunday,10:00,2021,860.8709677419355
Sunday,10:00,2022,718.4074074074074
Sunday,10:00,2023,525.1612903225806
Sunday,10:00,2024,575.0645161290323
Sunday,11:00,2019,997.9354838709677
Sunday,11:00,2020,886.483870967742
Sunday,11:00,2021,1038.8387096774193
Sunday,11:00,2022,875.7777777777778
Sunday,11:00,2023,628.8064516129032
Sunday,11:00,2024,715.7741935483871
Sunday,12:00,2019,1116.9032258064517
Sunday,12:00,2020,1034.6451612903227
Sunday,12:00,2021,1154.032258064516
Sunday,12:00,2022,1004.5185185185185
Sunday,12:00,2023,726.516129032258
Sunday,12:00,2024,823.0322580645161
Sunday,13:00,2019,1190.225806451613
Sunday,13:00,2020,1101.6129032258063
Sunday,13:00,2021,1132.516129032258
Sunday,13:00,2022,1077.8148148148148
Sunday,13:00,2023,711.2258064516129
Sunday,13:00,2024,875.3870967741935
Sunday,14:00,2019,1194.8709677419354
Sunday,14:00,2020,1131.0
Sunday,14:00,2021,1043.5483870967741
Sunday,14:00,2022,1098.111111111111
Sunday,14:00,2023,647.5806451612904
Sunday,14:00,2024,872.7096774193549
Sunday,15:00,2019,1173.6774193548388
Sunday,15:00,2020,1118.5806451612902
Sunday,15:00,2021,1215.9354838709678
Sunday,15:00,2022,1079.4814814814815
Sunday,15:00,2023,692.7096774193549
Sunday,15:00,2024,832.6774193548387
Sunday,16:00,2019,1195.6451612903227
Sunday,16:00,2020,1081.6774193548388
Sunday,16:00,2021,1234.0967741935483
Sunday,16:00,2022,1050.7407407407406
Sunday,16:00,2023,679.6129032258065
Sunday,16:00,2024,835.483870967742
Sunday,17:00,2019,1107.6451612903227
Sunday,17:00,2020,1056.7096774193549
Sunday,17:00,2021,1207.5483870967741
Sunday,17:00,2022,970.8148148148148
Sunday,17:00,2023,632.4193548387096
Sunday,17:00,2024,829.1935483870968
